group	experiment	tissue	day	pig_num	treatment	num_seqs	design	treatXday
X2P76N5AXD21	FS2	cecum	21	76	RPS	46691	FS2_cecum_21_RPS	RPS_day_21
X2P76N5AiD21	FS2	ileum	21	76	RPS	24454	FS2_ileum_21_RPS	RPS_day_21
X2P77N5ACD21	FS2	colon	21	77	RPS	17890	FS2_colon_21_RPS	RPS_day_21
X2P77N5AFD0	FS2	feces	0	77	RPS	19910	FS2_feces_0_RPS	RPS_day_0
X2P77N5AFD12	FS2	feces	12	77	RPS	7	FS2_feces_12_RPS	RPS_day_12
X2P77N5AFD15	FS2	feces	15	77	RPS	18947	FS2_feces_15_RPS	RPS_day_15
X2P77N5AFD19	FS2	feces	19	77	RPS	8284	FS2_feces_19_RPS	RPS_day_19
X2P77N5AFD21	FS2	feces	21	77	RPS	34787	FS2_feces_21_RPS	RPS_day_21
X2P77N5AMD21	FS2	cec_cont_DNA	21	77	RPS	7	FS2_cec_cont_DNA_21_RPS	RPS_day_21
X2P77N5AUD21	FS2	cec_cont_RNA	21	77	RPS	38678	FS2_cec_cont_RNA_21_RPS	RPS_day_21
X2P77N5AXD21	FS2	cecum	21	77	RPS	34123	FS2_cecum_21_RPS	RPS_day_21
X2P77N5AiD21	FS2	ileum	21	77	RPS	5678	FS2_ileum_21_RPS	RPS_day_21
X2P78N5AFD0	FS2	feces	0	78	RPS	9396	FS2_feces_0_RPS	RPS_day_0
X2P78N5AFD21	FS2	feces	21	78	RPS	45364	FS2_feces_21_RPS	RPS_day_21
X2P78N5AMD21	FS2	cec_cont_DNA	21	78	RPS	24743	FS2_cec_cont_DNA_21_RPS	RPS_day_21
X2P78N5AUD21	FS2	cec_cont_RNA	21	78	RPS	34540	FS2_cec_cont_RNA_21_RPS	RPS_day_21
X2P78N5BCD21	FS2	colon	21	78	RPS	46081	FS2_colon_21_RPS	RPS_day_21
X2P78N5BFD12	FS2	feces	12	78	RPS	16873	FS2_feces_12_RPS	RPS_day_12
X2P78N5BFD15	FS2	feces	15	78	RPS	21028	FS2_feces_15_RPS	RPS_day_15
X2P78N5BFD19	FS2	feces	19	78	RPS	30250	FS2_feces_19_RPS	RPS_day_19
X2P78N5BXD21	FS2	cecum	21	78	RPS	52369	FS2_cecum_21_RPS	RPS_day_21
X2P78N5BiD21	FS2	ileum	21	78	RPS	3262	FS2_ileum_21_RPS	RPS_day_21
X2P79N5AFD0	FS2	feces	0	79	RPS	14032	FS2_feces_0_RPS	RPS_day_0
X2P79N5AFD21	FS2	feces	21	79	RPS	41104	FS2_feces_21_RPS	RPS_day_21
X2P79N5AMD21	FS2	cec_cont_DNA	21	79	RPS	17	FS2_cec_cont_DNA_21_RPS	RPS_day_21
X2P79N5AUD21	FS2	cec_cont_RNA	21	79	RPS	36656	FS2_cec_cont_RNA_21_RPS	RPS_day_21
X2P79N5BCD21	FS2	colon	21	79	RPS	43771	FS2_colon_21_RPS	RPS_day_21
X2P79N5BFD12	FS2	feces	12	79	RPS	16958	FS2_feces_12_RPS	RPS_day_12
X2P79N5BFD15	FS2	feces	15	79	RPS	14787	FS2_feces_15_RPS	RPS_day_15
X2P79N5BFD19	FS2	feces	19	79	RPS	17129	FS2_feces_19_RPS	RPS_day_19
X2P79N5BXD21	FS2	cecum	21	79	RPS	32189	FS2_cecum_21_RPS	RPS_day_21
X2P79N5BiD21	FS2	ileum	21	79	RPS	1172	FS2_ileum_21_RPS	RPS_day_21
X2P80N5AFD0	FS2	feces	0	80	RPS	15602	FS2_feces_0_RPS	RPS_day_0
X2P80N5AFD21	FS2	feces	21	80	RPS	3829	FS2_feces_21_RPS	RPS_day_21
X2P80N5AMD21	FS2	cec_cont_DNA	21	80	RPS	75	FS2_cec_cont_DNA_21_RPS	RPS_day_21
X2P80N5AUD21	FS2	cec_cont_RNA	21	80	RPS	39063	FS2_cec_cont_RNA_21_RPS	RPS_day_21
X2P80N5BCD21	FS2	colon	21	80	RPS	37943	FS2_colon_21_RPS	RPS_day_21
X2P80N5BFD12	FS2	feces	12	80	RPS	16512	FS2_feces_12_RPS	RPS_day_12
X2P80N5BFD15	FS2	feces	15	80	RPS	31658	FS2_feces_15_RPS	RPS_day_15
X2P80N5BXD21	FS2	cecum	21	80	RPS	40653	FS2_cecum_21_RPS	RPS_day_21
X2P80N5BiD21	FS2	ileum	21	80	RPS	5642	FS2_ileum_21_RPS	RPS_day_21
X2P81N4ACD41	FS2	colon	41	81	control	38112	FS2_colon_41_control	control_day_41
X2P81N4AFD0	FS2	feces	0	81	control	19430	FS2_feces_0_control	control_day_0
X2P81N4AFD12	FS2	feces	12	81	control	8690	FS2_feces_12_control	control_day_12
X2P81N4AFD15	FS2	feces	15	81	control	22144	FS2_feces_15_control	control_day_15
X2P81N4AFD19	FS2	feces	19	81	control	20496	FS2_feces_19_control	control_day_19
X2P81N4AFD21	FS2	feces	21	81	control	19110	FS2_feces_21_control	control_day_21
X2P81N4AFD28	FS2	feces	28	81	control	23971	FS2_feces_28_control	control_day_28
X2P81N4AFD35	FS2	feces	35	81	control	8	FS2_feces_35_control	control_day_35
X2P81N4AFD41	FS2	feces	41	81	control	21998	FS2_feces_41_control	control_day_41
X2P81N4AMD42	FS2	cec_cont_DNA	41	81	control	21	FS2_cec_cont_DNA_41_control	control_day_41
X2P81N4AUD42	FS2	cec_cont_RNA	41	81	control	21492	FS2_cec_cont_RNA_41_control	control_day_41
X2P81N4AXD41	FS2	cecum	41	81	control	6245	FS2_cecum_41_control	control_day_41
X2P81N4AiD41	FS2	ileum	41	81	control	2147	FS2_ileum_41_control	control_day_41
X2P82N4ACD41	FS2	colon	41	82	control	34290	FS2_colon_41_control	control_day_41
X2P82N4AFD0	FS2	feces	0	82	control	11731	FS2_feces_0_control	control_day_0
X2P82N4AFD12	FS2	feces	12	82	control	18067	FS2_feces_12_control	control_day_12
X2P82N4AFD21	FS2	feces	21	82	control	1672	FS2_feces_21_control	control_day_21
X2P82N4AFD28	FS2	feces	28	82	control	31250	FS2_feces_28_control	control_day_28
X2P82N4AFD35	FS2	feces	35	82	control	26047	FS2_feces_35_control	control_day_35
X2P82N4AFD41	FS2	feces	41	82	control	30737	FS2_feces_41_control	control_day_41
X2P82N4AMD42	FS2	cec_cont_DNA	41	82	control	6	FS2_cec_cont_DNA_41_control	control_day_41
X2P82N4AUD42	FS2	cec_cont_RNA	41	82	control	33659	FS2_cec_cont_RNA_41_control	control_day_41
X2P82N4AXD41	FS2	cecum	41	82	control	10609	FS2_cecum_41_control	control_day_41
X2P82N4AiD41	FS2	ileum	41	82	control	1489	FS2_ileum_41_control	control_day_41
X2P83N4ACD21	FS2	colon	41	83	control	20465	FS2_colon_41_control	control_day_41
X2P83N4AFD0	FS2	feces	0	83	control	30711	FS2_feces_0_control	control_day_0
X2P83N4AFD12	FS2	feces	12	83	control	20662	FS2_feces_12_control	control_day_12
X2P83N4AFD15	FS2	feces	15	83	control	29067	FS2_feces_15_control	control_day_15
X2P83N4AFD19	FS2	feces	19	83	control	28220	FS2_feces_19_control	control_day_19
X2P83N4AFD21	FS2	feces	21	83	control	18050	FS2_feces_21_control	control_day_21
X2P83N4AFD28	FS2	feces	28	83	control	32779	FS2_feces_28_control	control_day_28
X2P83N4AFD35	FS2	feces	35	83	control	31373	FS2_feces_35_control	control_day_35
X2P83N4AFD41	FS2	feces	41	83	control	24527	FS2_feces_41_control	control_day_41
X2P83N4AUD42	FS2	cec_cont_RNA	41	83	control	26041	FS2_cec_cont_RNA_41_control	control_day_41
X2P83N4AXD21	FS2	cecum	41	83	control	36958	FS2_cecum_41_control	control_day_41
X2P83N4AiD21	FS2	ileum	41	83	control	455	FS2_ileum_41_control	control_day_41
X2P84N4ACD41	FS2	colon	41	84	control	27785	FS2_colon_41_control	control_day_41
X2P84N4AFD0	FS2	feces	0	84	control	34416	FS2_feces_0_control	control_day_0
X2P84N4AFD12	FS2	feces	12	84	control	18327	FS2_feces_12_control	control_day_12
X2P84N4AFD15	FS2	feces	15	84	control	22085	FS2_feces_15_control	control_day_15
X2P84N4AFD19	FS2	feces	19	84	control	14600	FS2_feces_19_control	control_day_19
X2P84N4AFD21	FS2	feces	21	84	control	25214	FS2_feces_21_control	control_day_21
X2P84N4AFD28	FS2	feces	28	84	control	30739	FS2_feces_28_control	control_day_28
X2P84N4AFD35	FS2	feces	35	84	control	26350	FS2_feces_35_control	control_day_35
X2P84N4AFD41	FS2	feces	41	84	control	22942	FS2_feces_41_control	control_day_41
X2P84N4AMD42	FS2	cec_cont_DNA	41	84	control	33	FS2_cec_cont_DNA_41_control	control_day_41
X2P84N4AUD42	FS2	cec_cont_RNA	41	84	control	28033	FS2_cec_cont_RNA_41_control	control_day_41
X2P84N4AXD41	FS2	cecum	41	84	control	29489	FS2_cecum_41_control	control_day_41
X2P84N4AiD41	FS2	ileum	41	84	control	2908	FS2_ileum_41_control	control_day_41
X2P85N4AFD0	FS2	feces	0	85	control	4654	FS2_feces_0_control	control_day_0
X2P85N4AFD21	FS2	feces	21	85	control	13664	FS2_feces_21_control	control_day_21
X2P85N4AMD42	FS2	cec_cont_DNA	41	85	control	7	FS2_cec_cont_DNA_41_control	control_day_41
X2P85N4AUD42	FS2	cec_cont_RNA	41	85	control	42322	FS2_cec_cont_RNA_41_control	control_day_41
X2P85N4BCD41	FS2	colon	41	85	control	15	FS2_colon_41_control	control_day_41
X2P85N4BFD12	FS2	feces	12	85	control	23302	FS2_feces_12_control	control_day_12
X2P85N4BFD15	FS2	feces	15	85	control	16789	FS2_feces_15_control	control_day_15
X2P85N4BFD19	FS2	feces	19	85	control	17224	FS2_feces_19_control	control_day_19
X2P85N4BFD28	FS2	feces	28	85	control	34999	FS2_feces_28_control	control_day_28
X2P85N4BFD35	FS2	feces	35	85	control	41197	FS2_feces_35_control	control_day_35
X2P85N4BFD41	FS2	feces	41	85	control	40682	FS2_feces_41_control	control_day_41
X2P85N4BXD41	FS2	cecum	41	85	control	17	FS2_cecum_41_control	control_day_41
X2P85N4BiD41	FS2	ileum	41	85	control	453	FS2_ileum_41_control	control_day_41
X2P86N4AFD0	FS2	feces	0	86	control	13010	FS2_feces_0_control	control_day_0
X2P86N4AFD21	FS2	feces	21	86	control	27597	FS2_feces_21_control	control_day_21
X2P86N4AMD42	FS2	cec_cont_DNA	41	86	control	8	FS2_cec_cont_DNA_41_control	control_day_41
X2P86N4AUD42	FS2	cec_cont_RNA	41	86	control	38860	FS2_cec_cont_RNA_41_control	control_day_41
X2P86N4BCD41	FS2	colon	41	86	control	47760	FS2_colon_41_control	control_day_41
X2P86N4BFD12	FS2	feces	12	86	control	6803	FS2_feces_12_control	control_day_12
X2P86N4BFD15	FS2	feces	15	86	control	17937	FS2_feces_15_control	control_day_15
X2P86N4BFD19	FS2	feces	19	86	control	19703	FS2_feces_19_control	control_day_19
X2P86N4BFD28	FS2	feces	28	86	control	30225	FS2_feces_28_control	control_day_28
X2P86N4BFD35	FS2	feces	35	86	control	21989	FS2_feces_35_control	control_day_35
X2P86N4BFD41	FS2	feces	41	86	control	32520	FS2_feces_41_control	control_day_41
X2P86N4BXD41	FS2	cecum	41	86	control	25119	FS2_cecum_41_control	control_day_41
X2P86N4BiD41	FS2	ileum	41	86	control	390	FS2_ileum_41_control	control_day_41
X2P87N4AFD0	FS2	feces	0	87	control	15225	FS2_feces_0_control	control_day_0
X2P87N4AFD21	FS2	feces	21	87	control	21842	FS2_feces_21_control	control_day_21
X2P87N4AMD42	FS2	cec_cont_DNA	41	87	control	4	FS2_cec_cont_DNA_41_control	control_day_41
X2P87N4AUD42	FS2	cec_cont_RNA	41	87	control	27057	FS2_cec_cont_RNA_41_control	control_day_41
X2P87N4BCD21	FS2	colon	41	87	control	46167	FS2_colon_41_control	control_day_41
X2P87N4BFD12	FS2	feces	12	87	control	15013	FS2_feces_12_control	control_day_12
X2P87N4BFD15	FS2	feces	15	87	control	26316	FS2_feces_15_control	control_day_15
X2P87N4BFD19	FS2	feces	19	87	control	7673	FS2_feces_19_control	control_day_19
X2P87N4BFD28	FS2	feces	28	87	control	32405	FS2_feces_28_control	control_day_28
X2P87N4BFD35	FS2	feces	35	87	control	7373	FS2_feces_35_control	control_day_35
X2P87N4BFD41	FS2	feces	41	87	control	6	FS2_feces_41_control	control_day_41
X2P87N4BXD21	FS2	cecum	41	87	control	34669	FS2_cecum_41_control	control_day_41
X2P87N4BiD21	FS2	ileum	41	87	control	322	FS2_ileum_41_control	control_day_41
X2P90N5ACD41	FS2	colon	41	90	RPS	39780	FS2_colon_41_RPS	RPS_day_41
X2P90N5AFD0	FS2	feces	0	90	RPS	15762	FS2_feces_0_RPS	RPS_day_0
X2P90N5AFD12	FS2	feces	12	90	RPS	12139	FS2_feces_12_RPS	RPS_day_12
X2P90N5AFD15	FS2	feces	15	90	RPS	31541	FS2_feces_15_RPS	RPS_day_15
X2P90N5AFD21	FS2	feces	21	90	RPS	26432	FS2_feces_21_RPS	RPS_day_21
X2P90N5AFD28	FS2	feces	28	90	RPS	28682	FS2_feces_28_RPS	RPS_day_28
X2P90N5AFD35	FS2	feces	35	90	RPS	23536	FS2_feces_35_RPS	RPS_day_35
X2P90N5AFD41	FS2	feces	41	90	RPS	1600	FS2_feces_41_RPS	RPS_day_41
X2P90N5AMD42	FS2	cec_cont_DNA	41	90	RPS	13	FS2_cec_cont_DNA_41_RPS	RPS_day_41
X2P90N5AUD42	FS2	cec_cont_RNA	41	90	RPS	33784	FS2_cec_cont_RNA_41_RPS	RPS_day_41
X2P90N5AXD41	FS2	cecum	41	90	RPS	31317	FS2_cecum_41_RPS	RPS_day_41
X2P90N5AiD41	FS2	ileum	41	90	RPS	1173	FS2_ileum_41_RPS	RPS_day_41
X2P91N5ACD41	FS2	colon	41	91	RPS	41834	FS2_colon_41_RPS	RPS_day_41
X2P91N5AFD0	FS2	feces	0	91	RPS	6736	FS2_feces_0_RPS	RPS_day_0
X2P91N5AFD12	FS2	feces	12	91	RPS	14521	FS2_feces_12_RPS	RPS_day_12
X2P91N5AFD15	FS2	feces	15	91	RPS	34310	FS2_feces_15_RPS	RPS_day_15
X2P91N5AFD19	FS2	feces	19	91	RPS	8413	FS2_feces_19_RPS	RPS_day_19
X2P91N5AFD21	FS2	feces	21	91	RPS	17283	FS2_feces_21_RPS	RPS_day_21
X2P91N5AFD28	FS2	feces	28	91	RPS	29170	FS2_feces_28_RPS	RPS_day_28
X2P91N5AFD35	FS2	feces	35	91	RPS	21730	FS2_feces_35_RPS	RPS_day_35
X2P91N5AFD41	FS2	feces	41	91	RPS	2819	FS2_feces_41_RPS	RPS_day_41
X2P91N5AMD42	FS2	cec_cont_DNA	41	91	RPS	1	FS2_cec_cont_DNA_41_RPS	RPS_day_41
X2P91N5AUD42	FS2	cec_cont_RNA	41	91	RPS	20406	FS2_cec_cont_RNA_41_RPS	RPS_day_41
X2P91N5AXD41	FS2	cecum	41	91	RPS	34089	FS2_cecum_41_RPS	RPS_day_41
X2P91N5AiD41	FS2	ileum	41	91	RPS	1190	FS2_ileum_41_RPS	RPS_day_41
X2P92N5ACD41	FS2	colon	41	92	RPS	41383	FS2_colon_41_RPS	RPS_day_41
X2P92N5AFD0	FS2	feces	0	92	RPS	23335	FS2_feces_0_RPS	RPS_day_0
X2P92N5AFD12	FS2	feces	12	92	RPS	4898	FS2_feces_12_RPS	RPS_day_12
X2P92N5AFD15	FS2	feces	15	92	RPS	27444	FS2_feces_15_RPS	RPS_day_15
X2P92N5AFD21	FS2	feces	21	92	RPS	41263	FS2_feces_21_RPS	RPS_day_21
X2P92N5AFD28	FS2	feces	28	92	RPS	38590	FS2_feces_28_RPS	RPS_day_28
X2P92N5AFD35	FS2	feces	35	92	RPS	1317	FS2_feces_35_RPS	RPS_day_35
X2P92N5AFD41	FS2	feces	41	92	RPS	28985	FS2_feces_41_RPS	RPS_day_41
X2P92N5AMD42	FS2	cec_cont_DNA	41	92	RPS	1	FS2_cec_cont_DNA_41_RPS	RPS_day_41
X2P92N5AUD42	FS2	cec_cont_RNA	41	92	RPS	62300	FS2_cec_cont_RNA_41_RPS	RPS_day_41
X2P92N5AXD41	FS2	cecum	41	92	RPS	45068	FS2_cecum_41_RPS	RPS_day_41
X2P92N5AiD41	FS2	ileum	41	92	RPS	3526	FS2_ileum_41_RPS	RPS_day_41
X2P93N5AFD0	FS2	feces	0	93	RPS	21526	FS2_feces_0_RPS	RPS_day_0
X2P93N5AFD21	FS2	feces	21	93	RPS	39587	FS2_feces_21_RPS	RPS_day_21
X2P93N5AMD42	FS2	cec_cont_DNA	41	93	RPS	2	FS2_cec_cont_DNA_41_RPS	RPS_day_41
X2P93N5AUD42	FS2	cec_cont_RNA	41	93	RPS	27586	FS2_cec_cont_RNA_41_RPS	RPS_day_41
X2P93N5BCD21	FS2	colon	41	93	RPS	73351	FS2_colon_41_RPS	RPS_day_41
X2P93N5BFD12	FS2	feces	12	93	RPS	19468	FS2_feces_12_RPS	RPS_day_12
X2P93N5BFD15	FS2	feces	15	93	RPS	29864	FS2_feces_15_RPS	RPS_day_15
X2P93N5BFD19	FS2	feces	19	93	RPS	30284	FS2_feces_19_RPS	RPS_day_19
X2P93N5BFD28	FS2	feces	28	93	RPS	39307	FS2_feces_28_RPS	RPS_day_28
X2P93N5BFD35	FS2	feces	35	93	RPS	6	FS2_feces_35_RPS	RPS_day_35
X2P93N5BFD41	FS2	feces	41	93	RPS	28000	FS2_feces_41_RPS	RPS_day_41
X2P93N5BXD21	FS2	cecum	41	93	RPS	53587	FS2_cecum_41_RPS	RPS_day_41
X2P93N5BiD21	FS2	ileum	41	93	RPS	2548	FS2_ileum_41_RPS	RPS_day_41
X2P94N5AFD0	FS2	feces	0	94	RPS	15479	FS2_feces_0_RPS	RPS_day_0
X2P94N5AFD21	FS2	feces	21	94	RPS	28750	FS2_feces_21_RPS	RPS_day_21
X2P94N5AMD42	FS2	cec_cont_DNA	41	94	RPS	31	FS2_cec_cont_DNA_41_RPS	RPS_day_41
X2P94N5AUD42	FS2	cec_cont_RNA	41	94	RPS	40044	FS2_cec_cont_RNA_41_RPS	RPS_day_41
X2P94N5BCD41	FS2	colon	41	94	RPS	50353	FS2_colon_41_RPS	RPS_day_41
X2P94N5BFD12	FS2	feces	12	94	RPS	18241	FS2_feces_12_RPS	RPS_day_12
