baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	newp	Treatment	name	tissue	otu
Otu031	29.6236429190501	-4.33000067351576	1.20714620328195	-3.58697286355496	0.000334539123271431	0.0113743301912287	1.1e-02	Control	Roseburia inulinivorans 100	D15_feces	Otu031
Otu0671	59.2018914454539	8.21338972638845	1.10072872652083	7.46177466663309	8.53647866526974e-14	8.70720823857514e-12	0.0e+00	RPS	Clostridium sp. CAG:167 100	D15_feces	Otu067
Otu073	7.71017135646263	-5.94431563898237	1.81757736500183	-3.27046086369831	0.00107372398290187	0.0219039692511982	2.2e-02	Control	Oscillibacter sp. 1-3 81.25	D15_feces	Otu073
Otu092	19.8213663011782	-9.63060293781476	2.23515471787323	-4.30869633354884	1.64219659229158e-05	0.000837520262068706	1.0e-03	Control	Oscillibacter sp. 1-3 81.25	D15_feces	Otu092
Otu001	1927.8649208485	2.89815981595723	0.823759236855149	3.51821222305376	0.000434464757734043	0.0056814622165221	6.0e-03	RPS	Roseburia faecis 100	D19_feces	Otu001
Otu002	3469.74612233779	2.83895043918669	0.896441517124127	3.16691093055833	0.00154067499428898	0.0137849867910066	1.4e-02	RPS	[Eubacterium rectale] ATCC 33656 100	D19_feces	Otu002
Otu003	3836.69453490432	3.31106045729344	1.15045054293566	2.87805545194881	0.00400134796826435	0.0295751806349974	3.0e-02	RPS	[Eubacterium] rectale 100	D19_feces	Otu003
Otu004	1949.82868412394	2.61783469273668	0.868646966631967	3.01369232069836	0.00258089402263412	0.0208929516118	2.1e-02	RPS	Roseburia sp. CAG:197 98.214	D19_feces	Otu004
Otu0071	836.545637801921	3.77685793392414	0.852320872031131	4.43126298775678	9.36827473024689e-06	0.000265434450690329	0.0e+00	RPS	Roseburia sp. CAG:197 100	D19_feces	Otu007
Otu010	2062.96308258219	-3.65639486140225	0.636360906992966	-5.74578799738033	9.14938839798559e-09	5.18465342552517e-07	0.0e+00	Control	Pseudobutyrivibrio sp. JW11 91.071	D19_feces	Otu010
Otu018	136.66536906476	1.71562021087001	0.613767242434437	2.79522935121985	0.00518629071958344	0.0343895363736428	3.4e-02	RPS	Megasphaera elsdenii 100	D19_feces	Otu018
Otu0201	367.352866875787	7.65485757400478	1.39479801141447	5.48814775427016	4.061702586724e-08	1.7262235993577e-06	0.0e+00	RPS	Lachnospiraceae bacterium V9D3004 88.393	D19_feces	Otu020
Otu0311	392.488943819259	6.25559248840054	1.49632281706448	4.18064365326789	2.90685101038255e-05	0.000549071857516704	1.0e-03	RPS	Roseburia inulinivorans 100	D19_feces	Otu031
Otu033	159.584231445144	4.72766193479659	1.45834290583573	3.24180404751056	0.00118775659754431	0.0118775659754431	1.2e-02	RPS	Megasphaera elsdenii 98.718	D19_feces	Otu033
Otu034	62.7482429813525	7.85643725924813	2.20153000829734	3.56862601447087	0.000358858242980059	0.00508382510888417	5.0e-03	RPS	Anaerostipes hadrus 100	D19_feces	Otu034
Otu044	92.9346015699413	-5.64232443756418	1.28652391422457	-4.38571283065887	1.15606557946383e-05	0.000280758783584072	0.0e+00	Control	Peptostreptococcaceae bacterium oral taxon 113 str. W5053 70.536	D19_feces	Otu044
Otu045	95.8528414346765	10.3711372466217	1.93914388529234	5.34830722221426	8.87806711562168e-08	3.01854281931137e-06	0.0e+00	RPS	Clostridium sp. CAG:75 90.179	D19_feces	Otu045
Otu046	66.5653763836326	2.80882245258455	0.975291921191156	2.87998125643658	0.00397698813722224	0.0295751806349974	3.0e-02	RPS	Roseburia sp. CAG:182 100	D19_feces	Otu046
Otu062	129.815162766159	5.11286277869464	1.59246964490794	3.21065007112911	0.00132435096794588	0.0125077591417111	1.3e-02	RPS	uncultured Faecalibacterium sp. 100	D19_feces	Otu062
Otu0672	45.6905307382072	9.30951665016751	1.23016277265877	7.56771124690004	3.79857158760149e-14	3.22878584946126e-12	0.0e+00	RPS	Clostridium sp. CAG:167 100	D19_feces	Otu067
Otu068	23.1683464611838	-23.7206403902446	2.73213608108853	-8.68208598921396	3.88575464934756e-18	6.60578290389085e-16	0.0e+00	Control	Roseburia sp. 499 98.214	D19_feces	Otu068
Otu072	35.8224395591608	3.19759732945962	1.03055547445385	3.10279010565075	0.00191705551914794	0.0162949719127575	1.6e-02	RPS	Faecalibacterium prausnitzii 98.214	D19_feces	Otu072
Otu0731	54.8015254002174	-4.62628376160592	1.14701672239437	-4.03331849595763	5.49946612881819e-05	0.000934909241899092	1.0e-03	Control	Oscillibacter sp. 1-3 81.25	D19_feces	Otu073
Otu089	23.1562962409592	2.27562568407396	0.815434673604756	2.79069036151505	0.00525957615126301	0.0343895363736428	3.4e-02	RPS	Megasphaera elsdenii 100	D19_feces	Otu089
Otu094	17.1000852254929	-6.92421266992438	2.1270924870443	-3.25524757954737	0.00113293556193094	0.0118775659754431	1.2e-02	Control	Lachnospiraceae bacterium P6B14 87.5	D19_feces	Otu094
Otu095	42.282891515348	3.91977981976582	1.18055905842905	3.32027423090701	0.000899290638398303	0.0101919605685141	1.0e-02	RPS	Veillonellaceae bacterium Marseille-P2974 100	D19_feces	Otu095
Otu104	24.593785883794	3.43024687236173	0.98472076554998	3.48347165243935	0.000494955534920275	0.00601017435260334	6.0e-03	RPS	Megasphaera sp. DJF_B143 100	D19_feces	Otu104
Otu108	16.2719917262369	-2.75828246284688	1.03944711475419	-2.65360538664746	0.00796368981779358	0.0483509738937467	4.8e-02	Control	Oscillibacter sp. 1-3 83.036	D19_feces	Otu108
Otu125	7.3666909988951	-4.06048360348527	1.03776766992995	-3.91270967591365	9.12662341971391e-05	0.00141047816486488	1.0e-03	Control	Pseudobutyrivibrio ruminis 89.474	D19_feces	Otu125
Otu158	5.3600263004698	-4.75733411481479	1.1118704546919	-4.27867661627275	1.88007777871395e-05	0.000399516527976715	0.0e+00	Control	Pseudobutyrivibrio sp. OR37 92.473	D19_feces	Otu158
Otu206	7.03700064846548	3.54652134043177	1.26504960813487	2.80346424173877	0.00505568381702171	0.0343895363736428	3.4e-02	RPS	Megasphaera sp. DJF_B143 100	D19_feces	Otu206
Otu209	2.87724256014641	-2.79441314886433	1.03263063892472	-2.70611101736644	0.00680762835191673	0.042862845178735	4.3e-02	Control	Pseudobutyrivibrio sp. OR37 92.135	D19_feces	Otu209
Otu005	1677.80223980265	-1.742508912664	0.565990224523888	-3.07869082744282	0.00207912326818561	0.0125464335149132	1.3e-02	Control	Roseburia sp. CAG:197 86.607	D21_feces	Otu005
Otu0072	2425.67990941757	4.52945977272026	0.790243398905302	5.73172743865341	9.94129310812687e-09	5.05996181544044e-07	0.0e+00	RPS	Roseburia sp. CAG:197 100	D21_feces	Otu007
Otu008	24.3477997672893	-3.09248573449233	0.74612206226446	-4.14474506370543	3.40191968965037e-05	0.000661484384098682	1.0e-03	Control	Firmicutes bacterium CAG:176 91.964	D21_feces	Otu008
Otu009	45.6052050403535	4.01950045059901	0.992072252588943	4.05162067592315	5.08640804465933e-05	0.000890121407815383	1.0e-03	RPS	Chlamydia trachomatis 79.464	D21_feces	Otu009
Otu0101	644.44355269418	-3.54139097108804	0.539164765190972	-6.56829080778985	5.08960698941508e-11	8.90681223147639e-09	0.0e+00	Control	Pseudobutyrivibrio sp. JW11 91.071	D21_feces	Otu010
Otu011	863.811831145255	-3.7881653769057	0.834625564483784	-4.53876029935493	5.65859144597359e-06	0.000165042250507563	0.0e+00	Control	Coprococcus catus GD/7 100	D21_feces	Otu011
Otu014	3.88188529376287	-3.19309816315205	1.06163941471836	-3.00770498804354	0.00263228531717773	0.0148596751776162	1.5e-02	Control	Helicobacter sp. MIT 05-5293 82.143	D21_feces	Otu014
Otu019	51.1742253116183	-1.42696133729118	0.441739536821885	-3.23032289017533	0.00123650487007659	0.0100246618918616	1.0e-02	Control	Clostridium sp. CAG:43 88.393	D21_feces	Otu019
Otu0202	185.134033597125	3.12478368725721	0.810207548857177	3.85676940638829	0.000114895455419458	0.00182788224530956	2.0e-03	RPS	Lachnospiraceae bacterium V9D3004 88.393	D21_feces	Otu020
Otu022	24.2929378753004	-3.3364284187992	0.677108433070892	-4.92746546320135	8.33031422503349e-07	2.91560997876172e-05	0.0e+00	Control	Clostridium sp. CAG:58 97.321	D21_feces	Otu022
Otu024	7.48649278110658	-6.43405294522271	1.97592380777458	-3.25622522483252	0.00112904152582343	0.0100246618918616	1.0e-02	Control	Roseburia inulinivorans 92.857	D21_feces	Otu024
Otu028	51.7206720326731	-1.95139895999525	0.558999167286037	-3.49087990500838	0.000481432607365937	0.00601790759207421	6.0e-03	Control	Clostridium sp. CAG:299 89.286	D21_feces	Otu028
Otu032	9.55800345802589	-2.24977794807978	0.676022748770784	-3.32796189502582	0.000874838315751897	0.00900568854450482	9.0e-03	Control	Mogibacterium timidum ATCC 33093 61.947	D21_feces	Otu032
Otu0331	12.7172541925363	2.77686058752918	1.00675604679203	2.75822588439125	0.00581160237686916	0.027487308539246	2.7e-02	RPS	Megasphaera elsdenii 98.718	D21_feces	Otu033
Otu0341	15.2351746877802	4.10222340811299	1.07134912158047	3.82902578205443	0.000128651530103595	0.00187616814734409	2.0e-03	RPS	Anaerostipes hadrus 100	D21_feces	Otu034
Otu040	6.38388614603868	-5.55572727876377	1.72412623626441	-3.22234367873267	0.00127146524397789	0.0100246618918616	1.0e-02	Control	Roseburia inulinivorans 93.75	D21_feces	Otu040
Otu0441	5.47153773133793	-3.60991600922694	1.05443435913168	-3.4235568842803	0.000618073143719122	0.00721085334338976	7.0e-03	Control	Peptostreptococcaceae bacterium oral taxon 113 str. W5053 70.536	D21_feces	Otu044
Otu0451	70.1759824338374	5.82708175724529	1.02121856716852	5.7060084340238	1.1565627006721e-08	5.05996181544044e-07	0.0e+00	RPS	Clostridium sp. CAG:75 90.179	D21_feces	Otu045
Otu048	42.0217071961661	1.22445895240649	0.442653677580222	2.766178198496	0.00567175323196749	0.027487308539246	2.7e-02	RPS	Clostridium sp. CAG:253 100	D21_feces	Otu048
Otu053	10.528054717225	-4.56417179490193	1.45228727066278	-3.14274722852799	0.00167370305018685	0.0112653089916422	1.1e-02	Control	Roseburia inulinivorans 93.75	D21_feces	Otu053
Otu056	4.30554211986969	4.24534185491608	1.29037609806855	3.29000348136529	0.00100186143208088	0.00974031947856416	1.0e-02	RPS	Roseburia sp. CAG:309 99.099	D21_feces	Otu056
Otu059	32.211099696304	-5.7090193095825	1.84645423923921	-3.09188237014462	0.00198891645890218	0.0124307278681387	1.2e-02	Control	Desulfosporosinus sp. BRH_c37 65.179	D21_feces	Otu059
Otu061	7.73294719315626	-2.94836513311758	1.06439399405478	-2.7699941465151	0.00560573000717076	0.027487308539246	2.7e-02	Control	Clostridium sp. CAG:58 97.321	D21_feces	Otu061
Otu0673	14.5725347764592	5.14828287966903	0.844438380434339	6.0966945593129	1.08284137603228e-09	9.47486204028249e-08	0.0e+00	RPS	Clostridium sp. CAG:167 100	D21_feces	Otu067
Otu069	10.2381321254178	-2.40431578431173	0.846817956227829	-2.83923571368493	0.00452217381845033	0.0239812247948124	2.4e-02	Control	Clostridium sp. CAG:75 78.571	D21_feces	Otu069
Otu070	1.43684189602777	-3.25517574117344	1.10946053312517	-2.93401670810599	0.00334606195824281	0.0182987763341404	1.8e-02	Control	Firmicutes bacterium CAG:176 100	D21_feces	Otu070
Otu0732	10.4536534345365	-5.7458283187928	1.27867254652209	-4.49358855355194	7.00328792683933e-06	0.000171578578250495	0.0e+00	Control	Oscillibacter sp. 1-3 81.25	D21_feces	Otu073
Otu088	3.63640981753735	-2.31057470936886	0.872126382010337	-2.64935765851132	0.00806449357325092	0.0352821593829728	3.5e-02	Control	Firmicutes bacterium CAG:176 91.071	D21_feces	Otu088
Otu090	11.7463242989247	-2.51556511337234	0.93760126399383	-2.68297965241319	0.00729694298234178	0.0327426928694824	3.3e-02	Control	Clostridium sp. CAG:75 89.286	D21_feces	Otu090
Otu0941	24.1996003506077	-5.01973994554178	1.54430920927649	-3.25047595092276	0.00115212012332015	0.0100246618918616	1.0e-02	Control	Lachnospiraceae bacterium P6B14 87.5	D21_feces	Otu094
Otu100	4.37454545283232	-3.55037427126887	0.987096548268102	-3.59678521568952	0.000322174293075278	0.00433696163755181	4.0e-03	Control	Clostridiales bacterium CoAT_30-4c 81.25	D21_feces	Otu100
Otu1081	19.5346780577439	-3.68806095226386	0.825178615217121	-4.46940927000812	7.84359214859406e-06	0.000171578578250495	0.0e+00	Control	Oscillibacter sp. 1-3 83.036	D21_feces	Otu108
Otu1251	2.71911541491361	-2.59048828809256	0.855455151099187	-3.02819883048691	0.00246016161482995	0.0143509427531747	1.4e-02	Control	Pseudobutyrivibrio ruminis 89.474	D21_feces	Otu125
Otu127	4.92943975011858	3.62598211040506	1.14486408451478	3.16717255737989	0.00153928950810647	0.0112239859966097	1.1e-02	RPS	[Eubacterium] cellulosolvens 81.25	D21_feces	Otu127
Otu147	3.86248920321524	4.04944833154199	1.26067211449656	3.21213445191426	0.0013175269915018	0.0100246618918616	1.0e-02	RPS	Roseburia sp. CAG:197 97.701	D21_feces	Otu147
Otu154	2.2172218938178	-4.40821708513924	1.29741214546824	-3.3976998755074	0.000679549264291908	0.00743257007819274	7.0e-03	Control	Oscillibacter sp. 1-3 79.464	D21_feces	Otu154
Otu177	4.15429784494608	3.68186044524951	1.16811133226268	3.15197733602806	0.00162168860004563	0.0112653089916422	1.1e-02	RPS	Roseburia sp. CAG:197 98.925	D21_feces	Otu177
Otu182	2.15092665802262	-2.91719603480315	1.05571877659968	-2.76323212153053	0.00572320492978679	0.027487308539246	2.7e-02	Control	uncultured Flavonifractor sp. 89.286	D21_feces	Otu182
Otu204	1.7077418804232	-3.14821853566318	1.00622759659248	-3.12873404220318	0.00175561134750789	0.0113789624375511	1.1e-02	Control	Roseburia sp. CAG:197 83.908	D21_feces	Otu204
Otu2091	1.02894579563926	-3.02752656773901	1.1121945408932	-2.72211960805671	0.00648646610521958	0.0298718833793007	3.0e-02	Control	Pseudobutyrivibrio sp. OR37 92.135	D21_feces	Otu209
Otu0073	504.086497654995	2.99017481773445	0.681530298078786	4.3874422401523	1.14691437811578e-05	0.000215046445896708	0.0e+00	RPS	Roseburia sp. CAG:197 100	ileum	Otu007
Otu0102	240.810796598863	-2.03762845562527	0.57396687346164	-3.55008023953746	0.000385113751156766	0.00481392188945958	5.0e-03	Control	Pseudobutyrivibrio sp. JW11 91.071	ileum	Otu010
Otu0312	26.1574019892314	3.52438742136769	0.987816165229095	3.56785760896139	0.000359911989284726	0.00481392188945958	5.0e-03	RPS	Roseburia inulinivorans 100	ileum	Otu031
Otu0342	17.6435989737	5.41925848204787	1.21527297627806	4.4592931693792	8.22303814791151e-06	0.000205575953697788	0.0e+00	RPS	Anaerostipes hadrus 100	ileum	Otu034
Otu0351	17.1781300904883	2.13986829753817	0.750798878293218	2.850121862732	0.00437024813242924	0.0367782084024574	3.7e-02	RPS	uncultured Clostridium sp. 100	ileum	Otu035
Otu038	24.0650060256363	4.18319864348079	1.25714435704341	3.32754040539859	0.000876162822376088	0.00938745881117237	9.0e-03	RPS	Clostridium sp. CAG:75 91.964	ileum	Otu038
Otu0452	17.4589593036676	5.70475212230533	1.17118202676783	4.87093550952877	1.11071091757767e-06	6.80561911959392e-05	0.0e+00	RPS	Clostridium sp. CAG:75 90.179	ileum	Otu045
Otu049	19.0111420317757	-6.56216658486209	1.37484563103422	-4.77302064808959	1.81483176522505e-06	6.80561911959392e-05	0.0e+00	Control	Roseburia inulinivorans 93.75	ileum	Otu049
Otu0674	4.04688620919967	3.85852749954501	1.35529760005047	2.84699648210203	0.00441338500829488	0.0367782084024574	3.7e-02	RPS	Clostridium sp. CAG:167 100	ileum	Otu067
Otu0074	3610.35447550867	4.34632819354925	1.20572558317626	3.60474079193017	0.000312464631072198	0.00681172895737391	7.0e-03	RPS	Roseburia sp. CAG:197 100	cecum	Otu007
Otu0103	3548.68426695462	-5.54851831190006	1.23838045696726	-4.48046339934026	7.44811519227869e-06	0.000405922277979189	0.0e+00	Control	Pseudobutyrivibrio sp. JW11 91.071	cecum	Otu010
Otu0141	4374.12592265647	-5.39222911689584	1.53286579870935	-3.51774377211365	0.000435232390012101	0.0079067217518865	8.0e-03	Control	Helicobacter sp. MIT 05-5293 82.143	cecum	Otu014
Otu0343	55.510192555942	7.83332894582298	2.09689891338245	3.73567313895321	0.00018721371595115	0.00510157375966885	5.0e-03	RPS	Anaerostipes hadrus 100	cecum	Otu034
Otu0401	195.534086698567	-7.26750577936661	2.17610477161005	-3.33968560437904	0.000838732834684183	0.011427734872572	1.1e-02	Control	Roseburia inulinivorans 93.75	cecum	Otu040
Otu0453	69.9692896281011	7.31313375858083	1.94723175073253	3.75565659086532	0.000172887622282472	0.00510157375966885	5.0e-03	RPS	Clostridium sp. CAG:75 90.179	cecum	Otu045
Otu0491	111.59181059156	-10.7620845670002	2.39137848861549	-4.50036856074215	6.78357405568506e-06	0.000405922277979189	0.0e+00	Control	Roseburia inulinivorans 93.75	cecum	Otu049
Otu0675	10.0153794579142	5.37705719203142	1.71170796387337	3.14134029023494	0.00168176504551538	0.0203680433290196	2.0e-02	RPS	Clostridium sp. CAG:167 100	cecum	Otu067
Otu0733	4.41504333868033	-5.29180846547012	2.15751310602288	-2.45273525833869	0.0141774638352313	0.0965839723775135	9.7e-02	Control	Oscillibacter sp. 1-3 81.25	cecum	Otu073
Otu1001	7.52556095294531	-3.76351027453066	1.46631782909568	-2.56664019208695	0.0102689105645533	0.0746207501024205	7.5e-02	Control	Clostridiales bacterium CoAT_30-4c 81.25	cecum	Otu100
Otu1252	10.4222940083292	-5.569218723488	1.81533594670916	-3.06787222143862	0.00215588781288924	0.0234991771604927	2.3e-02	Control	Pseudobutyrivibrio ruminis 89.474	cecum	Otu125
Otu1581	13.5293163590234	-6.54631388279948	2.45292256449894	-2.66878130502122	0.00761270002928185	0.0638295617839786	6.4e-02	Control	Pseudobutyrivibrio sp. OR37 92.473	cecum	Otu158
Otu270	10.4332143996291	-6.64634536092465	2.24342120072988	-2.96259363099641	0.00305059013914955	0.0302285750152091	3.0e-02	Control	Helicobacter sp. MIT 05-5293 82.796	cecum	Otu270
Otu333	6.89863350944282	-6.76658061135233	2.79504702891927	-2.42091833924122	0.0154813545967617	0.0992628030027663	9.9e-02	Control	Roseburia sp. CAG:197 98.864	cecum	Otu333
Otu411	21.5127873665921	-8.40322102999052	2.46735536730376	-3.405760330006	0.000659800742482093	0.0102740401329354	1.0e-02	Control	Helicobacter sp. MIT 01-6451 83.908	cecum	Otu411
Otu442	26.0806950554403	-8.23744989079918	2.92284049136252	-2.81830291975981	0.00482782387803104	0.043852733558782	4.4e-02	Control	Helicobacter sp. MIT 05-5293 80.22	cecum	Otu442
Otu579	14.0005190556905	-7.77599370019378	2.99741805567661	-2.59423061973865	0.00948028720728212	0.0738108075424108	7.4e-02	Control	Helicobacter sp. MIT 05-5293 79.775	cecum	Otu579
Otu0075	1822.7498930018	4.35876370022207	1.07991893732107	4.03619526391003	5.43250078252271e-05	0.00487816392243038	5e-03	RPS	Roseburia sp. CAG:197 100	colon	Otu007
Otu0344	88.8903907773959	9.22321776758372	2.36384153832417	3.90179190019752	9.5483228742533e-05	0.00630189309700718	6e-03	RPS	Anaerostipes hadrus 100	colon	Otu034
Otu0454	88.5980404250857	8.77579399152716	1.78942468436731	4.90425446133266	9.3782850777391e-07	0.000247586726052312	0e+00	RPS	Clostridium sp. CAG:75 90.179	colon	Otu045
Otu0676	10.2497509633366	6.08611136124085	1.5096579790452	4.03145046475367	5.54336809367088e-05	0.00487816392243038	5e-03	RPS	Clostridium sp. CAG:167 100	colon	Otu067
Otu0076	8651.29989586963	5.97333427155401	1.24515536131631	4.79726021115897	1.6085058796304e-06	5.95100302612764e-05	0.0e+00	RPS	Roseburia sp. CAG:197 100	cec_cont_RNA	Otu007
Otu0091	16782.1464215564	7.61491046732972	1.59416995875436	4.77672435458501	1.78173743297235e-06	5.95100302612764e-05	0.0e+00	RPS	Chlamydia trachomatis 79.464	cec_cont_RNA	Otu009
Otu027	13.4962013326529	-6.92804834099046	2.28098188314216	-3.03730967448402	0.00238700091035177	0.0306637809252881	3.1e-02	Control	Clostridium sp. CAG:58 92.857	cec_cont_RNA	Otu027
Otu0313	238.139677740666	5.32820635715014	1.82668429889255	2.91687313477236	0.00353559547097924	0.0369027777283458	3.7e-02	RPS	Roseburia inulinivorans 100	cec_cont_RNA	Otu031
Otu0345	728.620109707716	9.78072799599711	2.06718652580038	4.73142015678058	2.22954510850181e-06	6.20556721866338e-05	0.0e+00	RPS	Anaerostipes hadrus 100	cec_cont_RNA	Otu034
Otu0402	392.403750510613	-9.95482868459057	1.91712513189786	-5.19258159989576	2.0739792082059e-07	1.15451509256795e-05	0.0e+00	Control	Roseburia inulinivorans 93.75	cec_cont_RNA	Otu040
Otu0455	80.237878796084	9.67856691417785	2.36028344118111	4.10059518501498	4.12088889685428e-05	0.000860235557218331	1.0e-03	RPS	Clostridium sp. CAG:75 90.179	cec_cont_RNA	Otu045
Otu0492	71.9671789077152	-24.9521601067231	2.69968156013094	-9.2426308625499	2.4050954478341e-20	4.01650939788294e-18	0.0e+00	Control	Roseburia inulinivorans 93.75	cec_cont_RNA	Otu049
Otu0611	196.705176532392	-11.3030722174031	2.15773882863279	-5.23838755062174	1.61985626123113e-07	1.15451509256795e-05	0.0e+00	Control	Clostridium sp. CAG:58 97.321	cec_cont_RNA	Otu061
Otu0677	44.8643007368508	7.46059072522147	1.76506760347494	4.2268016876711	2.37036398682633e-05	0.000565501122571424	1.0e-03	RPS	Clostridium sp. CAG:167 100	cec_cont_RNA	Otu067
Otu077	5.13556916318043	-6.05009176212327	2.06950141052246	-2.92345379972265	0.00346171592815173	0.0369027777283458	3.7e-02	Control	Roseburia inulinivorans 94.643	cec_cont_RNA	Otu077
Otu145	14.1620347060361	6.75454333452528	2.4082710671305	2.80472718653447	0.00503591839340937	0.0494704924529038	4.9e-02	RPS	uncultured Clostridium sp. 100	cec_cont_RNA	Otu145
Otu1471	12.693664100308	7.01824355566847	1.84067952097314	3.81285469616027	0.000137370880783222	0.0022940937090798	2.0e-03	RPS	Roseburia sp. CAG:197 97.701	cec_cont_RNA	Otu147
Otu1771	10.4010960986479	5.5441194889292	1.79676707552269	3.08560834871509	0.00203136198484618	0.0282697876224427	2.8e-02	RPS	Roseburia sp. CAG:197 98.925	cec_cont_RNA	Otu177
Otu180	41.2018139907988	9.17318351617362	2.32741522748593	3.94136096036566	8.10205945668283e-05	0.00150338214362893	2.0e-03	RPS	[Eubacterium] hallii DSM 3353 78.022	cec_cont_RNA	Otu180
Otu200	33.1741611081028	7.54688518503844	2.29726019686082	3.28516778175637	0.00101921658838521	0.0154735609327572	1.5e-02	RPS	Chlamydia trachomatis 77.011	cec_cont_RNA	Otu200
Otu260	4.61729413501094	5.55910482493652	1.84806345908014	3.00807031145106	0.00262912302339581	0.0313616817790786	3.1e-02	RPS	Roseburia sp. CAG:197 96.809	cec_cont_RNA	Otu260
