group experiment tissue day pig_num treatment num_seqs design treatXday sample
X2P82N4AFD12 FS2 feces 12 82 control 18067 FS2_feces_12_control control_day_12 feces_12_82
X2P82N4AFD21 FS2 feces 21 82 control 1672 FS2_feces_21_control control_day_21 feces_21_82
X2P82N4AFD28 FS2 feces 28 82 control 31250 FS2_feces_28_control control_day_28 feces_28_82
X2P82N4AFD35 FS2 feces 35 82 control 26047 FS2_feces_35_control control_day_35 feces_35_82
X2P82N4AFD41 FS2 feces 41 82 control 30737 FS2_feces_41_control control_day_41 feces_41_82
X2P82N4AMD42 FS2 cec_cont_DNA 41 82 control 6 FS2_cec_cont_DNA_41_control control_day_41 cec_cont_DNA_41_82
X2P82N4AUD42 FS2 cec_cont_RNA 41 82 control 33659 FS2_cec_cont_RNA_41_control control_day_41 cec_cont_RNA_41_82
X2P82N4AXD41 FS2 cecum 41 82 control 10609 FS2_cecum_41_control control_day_41 cecum_41_82
X2P82N4AiD41 FS2 ileum 41 82 control 1489 FS2_ileum_41_control control_day_41 ileum_41_82
X2P83N4ACD21 FS2 colon 41 83 control 20465 FS2_colon_41_control control_day_41 colon_41_83
X2P83N4AFD0 FS2 feces 0 83 control 30711 FS2_feces_0_control control_day_0 feces_0_83
X2P83N4AFD12 FS2 feces 12 83 control 20662 FS2_feces_12_control control_day_12 feces_12_83
X2P83N4AFD15 FS2 feces 15 83 control 29067 FS2_feces_15_control control_day_15 feces_15_83
X2P83N4AFD19 FS2 feces 19 83 control 28220 FS2_feces_19_control control_day_19 feces_19_83
X2P83N4AFD21 FS2 feces 21 83 control 18050 FS2_feces_21_control control_day_21 feces_21_83
X2P83N4AFD28 FS2 feces 28 83 control 32779 FS2_feces_28_control control_day_28 feces_28_83
X2P83N4AFD35 FS2 feces 35 83 control 31373 FS2_feces_35_control control_day_35 feces_35_83
X2P83N4AFD41 FS2 feces 41 83 control 24527 FS2_feces_41_control control_day_41 feces_41_83
X2P83N4AUD42 FS2 cec_cont_RNA 41 83 control 26041 FS2_cec_cont_RNA_41_control control_day_41 cec_cont_RNA_41_83
X2P83N4AXD21 FS2 cecum 41 83 control 36958 FS2_cecum_41_control control_day_41 cecum_41_83
X2P83N4AiD21 FS2 ileum 41 83 control 455 FS2_ileum_41_control control_day_41 ileum_41_83
X2P84N4ACD41 FS2 colon 41 84 control 27785 FS2_colon_41_control control_day_41 colon_41_84
X2P84N4AFD0 FS2 feces 0 84 control 34416 FS2_feces_0_control control_day_0 feces_0_84
X2P84N4AFD12 FS2 feces 12 84 control 18327 FS2_feces_12_control control_day_12 feces_12_84
X2P84N4AFD15 FS2 feces 15 84 control 22085 FS2_feces_15_control control_day_15 feces_15_84
X2P84N4AFD19 FS2 feces 19 84 control 14600 FS2_feces_19_control control_day_19 feces_19_84
X2P84N4AFD21 FS2 feces 21 84 control 25214 FS2_feces_21_control control_day_21 feces_21_84
X2P84N4AFD28 FS2 feces 28 84 control 30739 FS2_feces_28_control control_day_28 feces_28_84
X2P84N4AFD35 FS2 feces 35 84 control 26350 FS2_feces_35_control control_day_35 feces_35_84
X2P84N4AFD41 FS2 feces 41 84 control 22942 FS2_feces_41_control control_day_41 feces_41_84
X2P84N4AMD42 FS2 cec_cont_DNA 41 84 control 33 FS2_cec_cont_DNA_41_control control_day_41 cec_cont_DNA_41_84
X2P84N4AUD42 FS2 cec_cont_RNA 41 84 control 28033 FS2_cec_cont_RNA_41_control control_day_41 cec_cont_RNA_41_84
X2P84N4AXD41 FS2 cecum 41 84 control 29489 FS2_cecum_41_control control_day_41 cecum_41_84
X2P84N4AiD41 FS2 ileum 41 84 control 2908 FS2_ileum_41_control control_day_41 ileum_41_84
X2P85N4AFD0 FS2 feces 0 85 control 4654 FS2_feces_0_control control_day_0 feces_0_85
X2P85N4AFD21 FS2 feces 21 85 control 13664 FS2_feces_21_control control_day_21 feces_21_85
X2P85N4AMD42 FS2 cec_cont_DNA 41 85 control 7 FS2_cec_cont_DNA_41_control control_day_41 cec_cont_DNA_41_85
X2P85N4AUD42 FS2 cec_cont_RNA 41 85 control 42322 FS2_cec_cont_RNA_41_control control_day_41 cec_cont_RNA_41_85
X2P85N4BCD41 FS2 colon 41 85 control 15 FS2_colon_41_control control_day_41 colon_41_85
X2P85N4BFD12 FS2 feces 12 85 control 23302 FS2_feces_12_control control_day_12 feces_12_85
X2P85N4BFD15 FS2 feces 15 85 control 16789 FS2_feces_15_control control_day_15 feces_15_85
X2P85N4BFD19 FS2 feces 19 85 control 17224 FS2_feces_19_control control_day_19 feces_19_85
X2P85N4BFD28 FS2 feces 28 85 control 34999 FS2_feces_28_control control_day_28 feces_28_85
X2P85N4BFD35 FS2 feces 35 85 control 41197 FS2_feces_35_control control_day_35 feces_35_85
X2P85N4BFD41 FS2 feces 41 85 control 40682 FS2_feces_41_control control_day_41 feces_41_85
X2P85N4BXD41 FS2 cecum 41 85 control 17 FS2_cecum_41_control control_day_41 cecum_41_85
X2P85N4BiD41 FS2 ileum 41 85 control 453 FS2_ileum_41_control control_day_41 ileum_41_85
X2P86N4AFD0 FS2 feces 0 86 control 13010 FS2_feces_0_control control_day_0 feces_0_86
X2P86N4AFD21 FS2 feces 21 86 control 27597 FS2_feces_21_control control_day_21 feces_21_86
X2P86N4AMD42 FS2 cec_cont_DNA 41 86 control 8 FS2_cec_cont_DNA_41_control control_day_41 cec_cont_DNA_41_86
X2P86N4AUD42 FS2 cec_cont_RNA 41 86 control 38860 FS2_cec_cont_RNA_41_control control_day_41 cec_cont_RNA_41_86
X2P86N4BCD41 FS2 colon 41 86 control 47760 FS2_colon_41_control control_day_41 colon_41_86
X2P86N4BFD12 FS2 feces 12 86 control 6803 FS2_feces_12_control control_day_12 feces_12_86
X2P86N4BFD15 FS2 feces 15 86 control 17937 FS2_feces_15_control control_day_15 feces_15_86
X2P86N4BFD19 FS2 feces 19 86 control 19703 FS2_feces_19_control control_day_19 feces_19_86
X2P86N4BFD28 FS2 feces 28 86 control 30225 FS2_feces_28_control control_day_28 feces_28_86
X2P86N4BFD35 FS2 feces 35 86 control 21989 FS2_feces_35_control control_day_35 feces_35_86
X2P86N4BFD41 FS2 feces 41 86 control 32520 FS2_feces_41_control control_day_41 feces_41_86
X2P86N4BXD41 FS2 cecum 41 86 control 25119 FS2_cecum_41_control control_day_41 cecum_41_86
X2P86N4BiD41 FS2 ileum 41 86 control 390 FS2_ileum_41_control control_day_41 ileum_41_86
X2P87N4AFD0 FS2 feces 0 87 control 15225 FS2_feces_0_control control_day_0 feces_0_87
X2P87N4AFD21 FS2 feces 21 87 control 21842 FS2_feces_21_control control_day_21 feces_21_87
X2P87N4AMD42 FS2 cec_cont_DNA 41 87 control 4 FS2_cec_cont_DNA_41_control control_day_41 cec_cont_DNA_41_87
X2P87N4AUD42 FS2 cec_cont_RNA 41 87 control 27057 FS2_cec_cont_RNA_41_control control_day_41 cec_cont_RNA_41_87
X2P87N4BCD21 FS2 colon 41 87 control 46167 FS2_colon_41_control control_day_41 colon_41_87
X2P87N4BFD12 FS2 feces 12 87 control 15013 FS2_feces_12_control control_day_12 feces_12_87
X2P87N4BFD15 FS2 feces 15 87 control 26316 FS2_feces_15_control control_day_15 feces_15_87
X2P87N4BFD19 FS2 feces 19 87 control 7673 FS2_feces_19_control control_day_19 feces_19_87
X2P87N4BFD28 FS2 feces 28 87 control 32405 FS2_feces_28_control control_day_28 feces_28_87
X2P87N4BFD35 FS2 feces 35 87 control 7373 FS2_feces_35_control control_day_35 feces_35_87
X2P87N4BFD41 FS2 feces 41 87 control 6 FS2_feces_41_control control_day_41 feces_41_87
X2P87N4BXD21 FS2 cecum 41 87 control 34669 FS2_cecum_41_control control_day_41 cecum_41_87
X2P87N4BiD21 FS2 ileum 41 87 control 322 FS2_ileum_41_control control_day_41 ileum_41_87
X2P90N5ACD41 FS2 colon 41 90 RPS 39780 FS2_colon_41_RPS RPS_day_41 colon_41_90
X2P90N5AFD0 FS2 feces 0 90 RPS 15762 FS2_feces_0_RPS RPS_day_0 feces_0_90
X2P90N5AFD12 FS2 feces 12 90 RPS 12139 FS2_feces_12_RPS RPS_day_12 feces_12_90
X2P90N5AFD15 FS2 feces 15 90 RPS 31541 FS2_feces_15_RPS RPS_day_15 feces_15_90
X2P90N5AFD21 FS2 feces 21 90 RPS 26432 FS2_feces_21_RPS RPS_day_21 feces_21_90
X2P90N5AFD28 FS2 feces 28 90 RPS 28682 FS2_feces_28_RPS RPS_day_28 feces_28_90
X2P90N5AFD35 FS2 feces 35 90 RPS 23536 FS2_feces_35_RPS RPS_day_35 feces_35_90
X2P90N5AFD41 FS2 feces 41 90 RPS 1600 FS2_feces_41_RPS RPS_day_41 feces_41_90
X2P90N5AMD42 FS2 cec_cont_DNA 41 90 RPS 13 FS2_cec_cont_DNA_41_RPS RPS_day_41 cec_cont_DNA_41_90
X2P90N5AUD42 FS2 cec_cont_RNA 41 90 RPS 33784 FS2_cec_cont_RNA_41_RPS RPS_day_41 cec_cont_RNA_41_90
X2P90N5AXD41 FS2 cecum 41 90 RPS 31317 FS2_cecum_41_RPS RPS_day_41 cecum_41_90
X2P90N5AiD41 FS2 ileum 41 90 RPS 1173 FS2_ileum_41_RPS RPS_day_41 ileum_41_90
X2P91N5ACD41 FS2 colon 41 91 RPS 41834 FS2_colon_41_RPS RPS_day_41 colon_41_91
X2P91N5AFD0 FS2 feces 0 91 RPS 6736 FS2_feces_0_RPS RPS_day_0 feces_0_91
X2P91N5AFD12 FS2 feces 12 91 RPS 14521 FS2_feces_12_RPS RPS_day_12 feces_12_91
X2P91N5AFD15 FS2 feces 15 91 RPS 34310 FS2_feces_15_RPS RPS_day_15 feces_15_91
X2P91N5AFD19 FS2 feces 19 91 RPS 8413 FS2_feces_19_RPS RPS_day_19 feces_19_91
X2P91N5AFD21 FS2 feces 21 91 RPS 17283 FS2_feces_21_RPS RPS_day_21 feces_21_91
X2P91N5AFD28 FS2 feces 28 91 RPS 29170 FS2_feces_28_RPS RPS_day_28 feces_28_91
X2P91N5AFD35 FS2 feces 35 91 RPS 21730 FS2_feces_35_RPS RPS_day_35 feces_35_91
X2P91N5AFD41 FS2 feces 41 91 RPS 2819 FS2_feces_41_RPS RPS_day_41 feces_41_91
