sample	location	treatment	day	number	line	formate	acetate	propionate	isobutyrate	butyrate	lactate1	lactate2	isovalerate	valerate	caproate	heptanoate	oxalate	phenylacetate	succinate	fumarate	group	total	totLactate	BVFA
83X	cecum	control	42	83	38	0	75.5892	46.0818	0.4107	17.99508	0	0	0.3513	3.78024	0.28455	120	0.21339	0	0.57279	0	control cecum 42	145.27905	0	0.762
84C	colon	control	42	84	41	0.96084	51.32079	24.054	1.01784	7.81041	0	0	1.05255	3.12996	0.27297	120	0.30552	0.42837	1.07715	0	control colon 42	91.4304	0	2.07039
84X	cecum	control	42	84	40	0	75.25248	47.0088	0	9.02172	0	0	0	0	-0.43488	120	0	0	0	0	control cecum 42	130.84812	0	0
85C	colon	control	42	85	43	4.63593	71.40549	33.44652	0.6576	7.81767	3.77157	8.73936	0.71871	2.52522	0.20421	120	0.63441	0.5055	0.89175	0	control colon 42	135.95394	12.51093	1.37631
85X	cecum	control	42	85	42	5.27097	76.25091	38.59809	0.95673	6.78894	0.84162	3.42705	0.87384	2.22426	0.20793	120	0.50724	0.55764	0.87987	0	control cecum 42	137.38509	4.26867	1.83057
86C	colon	control	42	86	45	0	73.85946	48.96276	0.24048	16.52589	0.70065	1.70766	0.24006	2.82525	0.21831	120	0.28848	0.18384	1.22583	0	control colon 42	146.97867	2.40831	0.48054
86X	cecum	control	42	86	44	1.36956	67.46889	44.71941	0	11.95872	0.75378	1.99548	0.21426	1.76487	0.20697	120	0.30009	0.17697	1.54095	0	control cecum 42	132.46995	2.74926	0.21426
87C	colon	control	42	87	47	0	74.77971	46.95651	0.47031	22.81821	0.39879	0.73542	0.44292	8.24034	0.24966	120	0.30081	0.1788	0.40257	0	control colon 42	155.97405	1.13421	0.91323
87X	cecum	control	42	87	46	0	71.25444	47.02806	0.39834	16.46919	0	0	0.31614	4.70412	0.18447	120	0.26325	0	0.25389	0	control cecum 42	140.8719	0	0.71448
90C	colon	RS	42	90	49	1.35474	89.78181	40.97622	0.29244	18.22056	0.4173	0.8196	0.21765	3.93918	0.18117	120	0.33057	0	0.6783	0	RS colon 42	157.20954	1.2369	0.51009
90X	cecum	RS	42	90	48	0	87.57141	40.53849	0.35505	15.14856	0	0	0.2829	3.00684	0.28476	120	0.21864	0	0.51531	0	RS cecum 42	147.92196	0	0.63795
91C	colon	RS	42	91	51	2.09496	74.87631	31.71147	0.31806	13.30893	1.02579	2.73081	0.28755	1.25805	0.18651	120	0.41796	0.22515	1.06431	0	RS colon 42	129.50586	3.7566	0.60561
91X	cecum	RS	42	91	50	3.22632	75.21594	29.77242	0.2499	10.85682	1.2939	2.75652	0.2082	0.7896	0.24732	120	0.39138	0.23604	1.27887	0	RS cecum 42	126.52323	4.05042	0.4581
92C	colon	RS	42	92	53	0	75.53574	29.4144	0.43401	12.54519	0	0.50049	0.42819	1.57044	0.63354	120	0.48756	0.14862	0.62142	0	RS colon 42	122.3196	0.50049	0.8622
92X	cecum	RS	42	92	52	0	77.36229	28.97307	0.37782	12.28446	0	0	0.36837	1.07454	0.38763	120	0.33801	0	0.42198	0	RS cecum 42	121.58817	0	0.74619
93C	colon	RS	42	93	55	0	73.95834	51.90342	0.57918	27.00696	0.49983	0	0.64617	15.36312	0.55419	120	0.29502	0	0.54366	0	RS colon 42	171.34989	0.49983	1.22535
93X	cecum	RS	42	93	54	0	76.07892	51.93909	0.63798	23.87397	0.42909	0	0.57915	13.42089	0.54933	120	0.27561	0	0.51771	0	RS cecum 42	168.30174	0.42909	1.21713
94C	colon	RS	42	94	57	0	73.3926	37.04664	0	25.29135	2.03274	4.56279	0	3.81327	0.18615	120	0.28581	0	0.5145	0	RS colon 42	147.12585	6.59553	0
94X	cecum	RS	42	94	56	0	73.22616	35.09235	0	21.74967	0	0.55881	0	2.54208	0.10143	120	0	0	0.35712	0	RS cecum 42	133.62762	0.55881	0
95C	colon	RS	42	95	59	0	81.06321	45.41682	0	20.90739	0.45345	0.68595	0	3.76755	0.14463	120	0.25656	0	0.57078	0	RS colon 42	153.26634	1.1394	0
95X	cecum	RS	42	95	58	0	83.32293	46.69578	0	20.41044	0	0	0	3.41379	0.17874	120	0.33453	0	0.45228	0	RS cecum 42	154.80849	0	0
96C	colon	RS	42	96	61	0	76.65279	44.50599	0.44793	15.14886	0	0.50334	0.47961	4.24914	0.52947	120	0.26994	0.15093	0.69546	0	RS colon 42	143.63346	0.50334	0.92754
96X	cecum	RS	42	96	60	0	79.3533	42.75678	0.38991	11.79138	0	0	0.39576	2.55087	0.17535	120	0.26607	0	0.58374	0	RS cecum 42	138.26316	0	0.78567
